Game Title,User Rating,Age Group Targeted,Price,Platform,Requires Special Device,Developer,Publisher,Release Year,Genre,Multiplayer,Game Length (Hours),Graphics Quality,Soundtrack Quality,Story Quality,User Review Text,Game Mode,Min Number of Players
"Grand Theft Auto V,36.4,All Ages,41.41,PC,No,Game Freak,Innersloth,2015,Adventure,No,55.3,Medium,Average,Poor,""Solid game, but too many bugs."",Offline,1"
"The Sims 4,38.3,Adults,57.56,PC,No,Nintendo,Electronic Arts,2015,Shooter,Yes,34.6,Low,Poor,Poor,""Solid game, but too many bugs."",Offline,3"
"Minecraft,26.8,Teens,44.93,PC,Yes,Bungie,Capcom,2012,Adventure,Yes,13.9,Low,Good,Average,""Great game, but the graphics could be better."",Offline,5"
"Bioshock Infinite,38.4,All Ages,48.29,Mobile,Yes,Game Freak,Nintendo,2015,Sports,No,41.9,Medium,Good,Excellent,""Solid game, but the graphics could be better."",Online,4"
"Half-Life: Alyx,30.1,Adults,55.49,PlayStation,Yes,Game Freak,Epic Games,2022,RPG,Yes,13.2,High,Poor,Good,""Great game, but too many bugs."",Offline,1"
"Grand Theft Auto V,38.6,Adults,51.73,Xbox,No,Capcom,Capcom,2017,RPG,Yes,48.8,Low,Average,Poor,""Solid game, but the graphics could be better."",Offline,4"
"Sid Meier�۪s Civilization VI,33.1,Adults,46.44,Mobile,No,Game Freak,Innersloth,2020,Simulation,No,36.9,High,Excellent,Good,""Solid game, but the gameplay is amazing."",Online,3"
"Just Dance 2024,32.3,Teens,36.92,Nintendo Switch,No,Capcom,Take-Two Interactive,2012,Strategy,No,52.1,Ultra,Poor,Poor,""Disappointing game, but the gameplay is amazing."",Offline,3"
"Sid Meier�۪s Civilization VI,26.7,All Ages,22.2,Nintendo Switch,No,Epic Games,Epic Games,2010,Fighting,No,56.4,Low,Average,Good,""Great game, but the gameplay is amazing."",Online,10"
"1000-Piece Puzzle,23.9,Kids,20.09,PC,No,CD Projekt Red,Innersloth,2013,Sports,Yes,46.0,Low,Good,Average,""Solid game, but the graphics could be better."",Offline,5"
